MEAN_X,MEAN_Y,ID,Climate _Zone,Lake_Class,Average Increase in temperature,P value
75.86919118,22.66470323,1979,3,2,0.045723129,0.763458345
75.71543319,32.81474659,2003,11,3,0.25982648,0.226741132
79.76764626,29.20231565,1372,12,2,-0.029264815,0.643510565
78.99515286,30.72156755,269,12,2,-0.022810394,0.92341676
69.34651105,22.83402008,367,4,2,0.040665648,0.472445174
79.03644553,30.72593514,268,12,2,-0.21741819,0.145259856
72.11636564,21.7413058,1277,6,2,-0.018935223,0.878497781
74.62899774,26.4736838,401,4,2,-0.081443769,0.275690176
87.87761803,25.62351056,1034,11,2,0.000795053,0.994922393
77.48535406,10.42254319,374,12,2,-0.321273534,0.00687564
87.61900191,25.39775085,747,11,2,0.015048428,0.899775694
85.2215101,25.58744751,1766,11,2,0.33288883,0.00155391
82.95791214,22.03478168,1376,11,2,-0.109961303,0.163214546
88.70999569,28.02489556,406,5,2,-0.002231101,0.988942054
77.94514897,31.70766519,1864,12,2,0.384699561,0.087405921
77.63417453,31.7433018,1863,12,2,-0.006687885,0.982064659
74.62582102,33.45747487,1828,11,3,-0.423462121,0.068553463
76.46389783,12.0773171,673,3,2,0.028493259,0.8073488
73.74238371,17.6152122,73,3,1,-0.05659002,0.108087618
87.36126591,25.78722176,827,11,2,-0.004357152,0.962997158
78.8354609,17.36178325,282,6,2,-0.149303151,0.107885945
77.77418021,20.89460993,1271,3,2,-0.061209555,0.249784999
85.7154582,26.54418254,1477,11,2,0.073271241,0.455226765
78.90076574,17.49619303,517,6,2,-0.263979639,0.113244517
87.84919893,25.95819458,1039,11,2,-0.037142441,0.832065689
83.23346637,27.05316161,1249,11,2,-0.077978828,0.337703841
81.98420483,22.86080003,1353,11,3,0.168602366,0.333191109
80.10706615,13.64942392,1388,3,3,-0.173917979,0.028921666
78.50063108,18.05409033,292,3,2,-0.217826313,0.158025337
72.59519747,35.96148284,642,17,2,0.331865117,0.352699224
72.59895037,35.96532048,643,17,2,-0.267636928,0.224880598
74.66021672,34.22915933,230,8,1,-0.051135386,0.765367313
85.37273158,26.75231129,1514,11,2,-0.137183446,0.154986309
76.26494662,12.48755002,698,3,2,-0.17788944,0.056631852
72.61122781,35.99213371,641,17,1,0.140861149,0.403408994
76.24802135,12.49749106,696,3,2,-0.113649901,0.290377994
76.27477765,12.50128348,697,3,2,-0.166210423,0.263538098
71.60627718,24.37130576,1259,6,2,-0.303879312,0.054304832
83.42911538,26.72588053,1562,11,2,-0.216332871,0.098666299
80.93188684,28.22266298,964,11,2,0.135533425,0.192623886
74.68116937,34.19094436,532,8,1,-0.071125819,0.663034259
76.93767912,12.87708991,611,3,2,0.137463645,0.248757711
75.87763007,13.44394029,31,3,2,-0.190411168,0.010794341
83.72461476,26.83332048,1557,11,2,0.119035586,0.615347832
87.1989707,24.99549986,2006,3,2,0.04509871,0.699678355
88.46676947,22.59863949,60,3,2,-0.133048026,0.14314293
78.75126063,31.55351621,1757,18,2,1.389205136,0.002170392
83.72834037,21.34168036,1723,3,2,-0.129455604,0.04038617
83.05296496,25.2647937,1536,11,2,-0.284423714,0.144032234
81.20867374,25.22831391,1761,11,2,-0.071568651,0.573145982
79.54050629,17.98388626,411,3,2,-0.279426777,0.011510759
77.80883215,34.616261,1815,5,2,0.118796115,0.681114266
76.93094122,12.91113651,609,3,2,0.103096964,0.453910326
88.2813263,24.15823177,1665,11,2,0.0642507,0.440424064
88.40237808,22.50676892,437,3,2,-0.037552612,0.734111671
88.1023374,24.9639137,822,3,2,0.069829854,0.516401874
88.10265288,24.9628257,823,3,2,0.053805894,0.749830759
88.10144948,24.96616338,820,3,2,0.037771853,0.753529951
88.10190806,24.96507248,821,3,2,0.121911825,0.276886454
83.79860473,21.24974417,1908,3,2,-0.04891443,0.635624796
77.66517677,12.88546858,349,3,2,0.068553073,0.553730969
79.76248236,18.0647787,1457,3,2,0.123670915,0.43035646
88.1019897,24.97001896,819,3,2,0.154329701,0.209879495
88.10772149,24.94571998,818,3,2,0.048978973,0.704358825
87.84774037,23.24581875,979,3,2,-0.057101629,0.612039716
87.31235035,23.94793752,976,11,2,0.439999989,0.009342383
76.3771755,12.30552689,672,3,2,-0.051487781,0.599908175
79.12611011,12.92163164,930,3,2,-0.198588005,0.091528591
88.62859068,28.05822074,2059,5,2,-0.204022025,0.20272317
78.22680732,33.31068049,716,5,2,0.346063718,0.339948745
74.39093918,34.04958464,579,15,2,-0.501705098,0.168920326
79.2593846,11.90363793,470,3,2,0.0197212,0.903861665
76.37374119,12.23154521,671,3,2,-0.15571724,0.202821721
78.20605367,33.33180538,717,5,2,0.5628804,0.167992202
75.3059284,34.13003967,1790,14,2,-0.063872275,0.576730443
84.73940044,19.33822906,637,3,2,-0.138466381,0.055289449
84.74154688,19.34435693,638,3,2,-0.134177038,0.041098124
83.69532832,26.89170405,1559,11,2,-0.089418833,0.382125535
80.23571041,12.97901107,177,3,2,0.020069789,0.824196699
83.67724335,26.8765182,1558,11,2,-0.074033682,0.460087392
76.15419227,12.486778,1753,3,2,-0.399505316,0.002012858
76.5083544,12.68826396,768,3,2,-0.040096704,0.674928958
76.15227938,12.51762943,1751,3,2,-0.332823701,0.000335575
76.17264951,12.4739254,1752,3,2,-0.280637759,0.005458501
76.25516862,10.10720458,1585,2,2,0.1029892,0.534678851
87.27747505,23.55343158,668,3,2,-0.096599904,0.406982005
79.33372983,26.14637212,1024,11,2,0.008565449,0.936194634
75.38236256,33.91213455,1778,8,2,0.056988068,0.84577581
77.02213037,10.99170103,58,12,1,0.158104522,0.090050329
76.73979248,12.88514096,559,3,2,0.002217144,0.988491868
78.34324193,31.18503263,2023,12,2,-0.348309486,0.194443858
75.48417766,33.44907403,1770,14,2,-0.055518103,0.757797438
75.41669284,34.13783264,1478,14,2,-0.272092866,0.221983931
76.94261284,12.86317326,607,3,2,0.124029211,0.339457748
79.45888068,29.38591918,257,12,2,-0.054179131,0.300016898
78.81762932,13.26749368,1107,3,2,-0.17885644,0.083850627
80.70101136,25.54939595,1033,11,2,-0.071299843,0.692948045
78.2694503,33.8898518,2007,5,2,-0.109844408,0.273554451
77.82530433,12.97164657,2037,3,3,0.127635547,0.475378483
78.04106493,33.25628387,149,5,2,0.008403904,0.948359517
78.28688228,33.00918445,148,5,2,0.413707538,0.004564861
78.22046537,33.70795268,890,5,2,-0.101507127,0.755725313
78.08976713,32.4281688,1880,26,2,-0.755390144,0.041321644
72.95604497,19.22174851,193,3,2,-0.078696169,0.18172177
76.45760373,26.02719913,734,11,2,0.000427546,0.996585879
78.5991699,32.92060922,159,5,2,0.388253407,0.132619509
76.56237489,8.932320303,597,2,2,-0.003321839,0.976454695
76.5585505,8.937832496,596,2,1,0.013759728,0.918431237
80.1855463,12.92970352,166,3,2,-0.079726078,0.465902736
79.71258734,11.39153172,449,3,2,-0.076293911,0.363287681
76.55866928,8.936370488,594,2,1,-0.024381092,0.8014139
77.4714738,23.24379537,664,3,2,0.027238884,0.687895895
76.55831177,8.935715633,595,2,1,-0.005869129,0.949942263
88.61622455,27.97468642,341,5,2,-0.352962934,0.325272284
78.59405303,32.98020833,158,5,2,0.155456974,0.438589482
82.5520105,27.27459287,1420,11,2,0.059560091,0.407271841
79.42142424,11.80690807,662,3,2,-0.111207447,0.419894181
82.96720811,20.28979902,1333,3,2,-0.080273287,0.634888217
74.65835327,34.16820558,93,8,1,-0.044421829,0.770910793
78.96285058,9.990793634,1517,3,2,-0.16669077,0.218555056
74.3871409,34.50027063,1073,18,1,-0.090955853,0.660673101
76.69920923,8.878710842,1602,2,1,-0.083560539,0.407318143
87.88687153,25.4136945,780,3,2,0.018894672,0.845444579
76.756735,30.76591648,1705,11,1,-0.160599011,0.384290047
78.6830489,30.6340375,1641,12,2,0.313087436,0.196252112
87.15116958,23.66124454,1924,11,2,-0.289729019,0.022175423
80.23898869,12.96660001,347,3,2,-0.10645965,0.183033837
85.53972391,23.80441033,1102,11,2,-0.516715999,0.02014685
78.08845673,32.4266472,1879,26,2,-0.037152972,0.94218011
78.08195375,32.42277451,1878,26,2,-0.08539055,0.717866959
77.17747926,34.49544223,1820,5,2,0.293554946,0.296447601
