MEAN_X,MEAN_Y,ID,Climate _Zone
75.86919118,22.66470323,1979,3
75.71543319,32.81474659,2003,11
79.76764626,29.20231565,1372,12
78.99515286,30.72156755,269,12
69.34651105,22.83402008,367,4
79.03644553,30.72593514,268,12
72.11636564,21.7413058,1277,6
74.62899774,26.4736838,401,4
87.87761803,25.62351056,1034,11
77.48535406,10.42254319,374,12
87.61900191,25.39775085,747,11
85.2215101,25.58744751,1766,11
82.95791214,22.03478168,1376,11
88.70999569,28.02489556,406,5
77.94514897,31.70766519,1864,12
77.63417453,31.7433018,1863,12
74.62582102,33.45747487,1828,11
76.46389783,12.0773171,673,3
73.74238371,17.6152122,73,3
87.36126591,25.78722176,827,11
78.8354609,17.36178325,282,6
77.77418021,20.89460993,1271,3
85.7154582,26.54418254,1477,11
78.90076574,17.49619303,517,6
87.84919893,25.95819458,1039,11
83.23346637,27.05316161,1249,11
81.98420483,22.86080003,1353,11
80.10706615,13.64942392,1388,3
78.50063108,18.05409033,292,3
72.59519747,35.96148284,642,17
72.59895037,35.96532048,643,17
74.66021672,34.22915933,230,8
85.37273158,26.75231129,1514,11
76.26494662,12.48755002,698,3
72.61122781,35.99213371,641,17
76.24802135,12.49749106,696,3
76.27477765,12.50128348,697,3
71.60627718,24.37130576,1259,6
83.42911538,26.72588053,1562,11
80.93188684,28.22266298,964,11
74.68116937,34.19094436,532,8
76.93767912,12.87708991,611,3
75.87763007,13.44394029,31,3
83.72461476,26.83332048,1557,11
87.1989707,24.99549986,2006,3
88.46676947,22.59863949,60,3
78.75126063,31.55351621,1757,18
83.72834037,21.34168036,1723,3
83.05296496,25.2647937,1536,11
81.20867374,25.22831391,1761,11
79.54050629,17.98388626,411,3
77.80883215,34.616261,1815,5
76.93094122,12.91113651,609,3
88.2813263,24.15823177,1665,11
88.40237808,22.50676892,437,3
88.1023374,24.9639137,822,3
88.10265288,24.9628257,823,3
88.10144948,24.96616338,820,3
88.10190806,24.96507248,821,3
83.79860473,21.24974417,1908,3
77.66517677,12.88546858,349,3
79.76248236,18.0647787,1457,3
88.1019897,24.97001896,819,3
88.10772149,24.94571998,818,3
87.84774037,23.24581875,979,3
87.31235035,23.94793752,976,11
76.3771755,12.30552689,672,3
79.12611011,12.92163164,930,3
88.62859068,28.05822074,2059,5
78.22680732,33.31068049,716,5
74.39093918,34.04958464,579,15
79.2593846,11.90363793,470,3
76.37374119,12.23154521,671,3
78.20605367,33.33180538,717,5
75.3059284,34.13003967,1790,14
84.73940044,19.33822906,637,3
84.74154688,19.34435693,638,3
83.69532832,26.89170405,1559,11
80.23571041,12.97901107,177,3
83.67724335,26.8765182,1558,11
76.15419227,12.486778,1753,3
76.5083544,12.68826396,768,3
76.15227938,12.51762943,1751,3
76.17264951,12.4739254,1752,3
76.25516862,10.10720458,1585,2
87.27747505,23.55343158,668,3
79.33372983,26.14637212,1024,11
75.38236256,33.91213455,1778,8
77.02213037,10.99170103,58,12
76.73979248,12.88514096,559,3
78.34324193,31.18503263,2023,12
75.48417766,33.44907403,1770,14
75.41669284,34.13783264,1478,14
76.94261284,12.86317326,607,3
79.45888068,29.38591918,257,12
78.81762932,13.26749368,1107,3
80.70101136,25.54939595,1033,11
78.2694503,33.8898518,2007,5
77.82530433,12.97164657,2037,3
78.04106493,33.25628387,149,5
78.28688228,33.00918445,148,5
78.22046537,33.70795268,890,5
78.08976713,32.4281688,1880,26
72.95604497,19.22174851,193,3
76.45760373,26.02719913,734,11
78.5991699,32.92060922,159,5
76.56237489,8.932320303,597,2
76.5585505,8.937832496,596,2
80.1855463,12.92970352,166,3
79.71258734,11.39153172,449,3
76.55866928,8.936370488,594,2
77.4714738,23.24379537,664,3
76.55831177,8.935715633,595,2
88.61622455,27.97468642,341,5
78.59405303,32.98020833,158,5
82.5520105,27.27459287,1420,11
